Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
GAME EDUKASI MATEMATIKA SEKOLAH DASAR KELAS 3 DENGAN MENGGUNAKAN METODE ADAPTIVE LEARNING,CIRA MULDAYAZIS,"ARIK KURNIAWATI,ST.,MT.","ANDHARINI DWI CAHYANI,S.Kom.,M.Kom.",pengembangan media pembelajaran interaktif pola pendidikan game meningkatkan motivasi belajar siswa game berbasis flash game edukasi matematika sekolah dasar kelas metode adaptive learning salah media pendidikan sistem komputerisasi belajar interaktif dasar matematika siswa muda sekolah dasar game multitasking pengguna bermain belajar game bersifat adaptif menyesuaikan level sesuai kemampuan pengguna implementasi didapatkan metode adaptive learning game edukasi matematika berjalan multitasking game edukasi siswa konsentrasi ditampilkan siswa cenderung permainya berdasarkan hasil uji coba responden tertarik game skenario game menarik animasi gambar latar disukai anak anak, Jurusan Teknik Informatika,RPL,"['pengembangan', 'media', 'pembelajaran', 'interaktif', 'pola', 'pendidikan', 'game', 'meningkatkan', 'motivasi', 'belajar', 'siswa', 'game', 'berbasis', 'flash', 'game', 'edukasi', 'matematika', 'sekolah', 'dasar', 'kelas', 'metode', 'adaptive', 'learning', 'salah', 'media', 'pendidikan', 'sistem', 'komputerisasi', 'belajar', 'interaktif', 'dasar', 'matematika', 'siswa', 'muda', 'sekolah', 'dasar', 'game', 'multitasking', 'pengguna', 'bermain', 'belajar', 'game', 'bersifat', 'adaptif', 'menyesuaikan', 'level', 'sesuai', 'kemampuan', 'pengguna', 'implementasi', 'didapatkan', 'metode', 'adaptive', 'learning', 'game', 'edukasi', 'matematika', 'berjalan', 'multitasking', 'game', 'edukasi', 'siswa', 'konsentrasi', 'ditampilkan', 'siswa', 'cenderung', 'permainya', 'berdasarkan', 'hasil', 'uji', 'coba', 'responden', 'tertarik', 'game', 'skenario', 'game', 'menarik', 'animasi', 'gambar', 'latar', 'disukai', 'anak', 'anak']"
SISTEM REKOMENDASI MATERI PEMBELAJARANMENGGUNAKAN KOLBâS LEARNING STYLEPADA MATA PELAJARAN FISIKA,Rohmatul Islamiyah Safitri,Andarini Dwi Cahyani,Firli Irhamni,proses pembelajaran konvensional peserta didik dianggap gaya belajar homogen dasarnya peserta didik gaya belajar berbeda proses pembelajaran mengatasi keanekaragaman gaya belajar dikembangkan adaptive e learning system penelitian bertujuan sistem rekomendasi materi pembelajaran dimana konten pembelajarannya diadaptasikan gaya belajar berdasarkan kolbs learning style knowledge level siswa kolbs learning style gaya belajar divergen assimilasi convergen akomodasi knowledge level atribut apprentice beginner intermediate expert sistem rekomendasi materi pembelajaran diuji cobakan siswa kelas sepuluh madrasah aliyah negeri tuban kuisioner kolbs learning style puluh membandingkan nilai pretest nilai postest hasil siswa sistem rekomendasi materi pembelajaran e learning adaptif diperoleh peningkatan nilai siswa pretest siswa latihan postest kunci adaptive e learning system kolbs learning style sistem rekomendasi materi pembelajaran, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['proses', 'pembelajaran', 'konvensional', 'peserta', 'didik', 'dianggap', 'gaya', 'belajar', 'homogen', 'dasarnya', 'peserta', 'didik', 'gaya', 'belajar', 'berbeda', 'proses', 'pembelajaran', 'mengatasi', 'keanekaragaman', 'gaya', 'belajar', 'dikembangkan', 'adaptive', 'e', 'learning', 'system', 'penelitian', 'bertujuan', 'sistem', 'rekomendasi', 'materi', 'pembelajaran', 'dimana', 'konten', 'pembelajarannya', 'diadaptasikan', 'gaya', 'belajar', 'berdasarkan', 'kolbs', 'learning', 'style', 'knowledge', 'level', 'siswa', 'kolbs', 'learning', 'style', 'gaya', 'belajar', 'divergen', 'assimilasi', 'convergen', 'akomodasi', 'knowledge', 'level', 'atribut', 'apprentice', 'beginner', 'intermediate', 'expert', 'sistem', 'rekomendasi', 'materi', 'pembelajaran', 'diuji', 'cobakan', 'siswa', 'kelas', 'sepuluh', 'madrasah', 'aliyah', 'negeri', 'tuban', 'kuisioner', 'kolbs', 'learning', 'style', 'puluh', 'membandingkan', 'nilai', 'pretest', 'nilai', 'postest', 'hasil', 'siswa', 'sistem', 'rekomendasi', 'materi', 'pembelajaran', 'e', 'learning', 'adaptif', 'diperoleh', 'peningkatan', 'nilai', 'siswa', 'pretest', 'siswa', 'latihan', 'postest', 'kunci', 'adaptive', 'e', 'learning', 'system', 'kolbs', 'learning', 'style', 'sistem', 'rekomendasi', 'materi', 'pembelajaran']"
RANCANG  BANGUN APLIKASI MOBILE-LEARNING DENGAN MENGINTEGRASIKAN LEARNING MANAGEMENT SYSTEM (LMS) CLAROLINE PADA SMARTPHONE BERBASIS ANDROID(studi kasus Elite Course - Kamal),Saifudin Yahya,"Andharini Dwi Cahyani, S.Kom., M.Kom","Bain Khusnul Khotimah, ST., M.Kom",pelajar meluangkan menambah pengetahuan bahasa inggrisnya sekolah kursus dihadapi jadwal tersedia ditempat kursus menyesuaikan jadwal sakit kesibukan melewatkan pertemuan melewatkan jadwal ujian hasil penelitian jalan pelajar kelas berkomunikasi tutor materinya dapatkan kelas konvensional ujian sertifikat komunikasi chat nilai ujian murid nilai tutor mengakses learning management system lms milik elite course dibangun lms claroline gadget android terintegrasi langsung database lms milik elite course berdasarkan hasil ujicoba kelayakan aplikasi kuisioner koresponden teknologi mobile learning hasil prosentase disimpukan teknologi mobile learning dirasa diterapkan lembaga kursus murid kemudahan kegiatan belajarnya, Jurusan Teknik Informatika,RPL,"['pelajar', 'meluangkan', 'menambah', 'pengetahuan', 'bahasa', 'inggrisnya', 'sekolah', 'kursus', 'dihadapi', 'jadwal', 'tersedia', 'ditempat', 'kursus', 'menyesuaikan', 'jadwal', 'sakit', 'kesibukan', 'melewatkan', 'pertemuan', 'melewatkan', 'jadwal', 'ujian', 'hasil', 'penelitian', 'jalan', 'pelajar', 'kelas', 'berkomunikasi', 'tutor', 'materinya', 'dapatkan', 'kelas', 'konvensional', 'ujian', 'sertifikat', 'komunikasi', 'chat', 'nilai', 'ujian', 'murid', 'nilai', 'tutor', 'mengakses', 'learning', 'management', 'system', 'lms', 'milik', 'elite', 'course', 'dibangun', 'lms', 'claroline', 'gadget', 'android', 'terintegrasi', 'langsung', 'database', 'lms', 'milik', 'elite', 'course', 'berdasarkan', 'hasil', 'ujicoba', 'kelayakan', 'aplikasi', 'kuisioner', 'koresponden', 'teknologi', 'mobile', 'learning', 'hasil', 'prosentase', 'disimpukan', 'teknologi', 'mobile', 'learning', 'dirasa', 'diterapkan', 'lembaga', 'kursus', 'murid', 'kemudahan', 'kegiatan', 'belajarnya']"
ANALISA BALANCED SCORECARD PROJECT PERFORMANCE PADA PROJECT INTEGRATION AND SCOPE MANAGEMENT MENGGUNAKAN FUZZY ANALYTIC NETWORK PROCESS,ACHMAD FAUZI,"Hermawan,S.T., M.Kom","M. Kautsar S, Skom., M. MT",manajemen proyek upaya merencanakan mengatur melaksanakan proyek optimal mencapai sasaran ditentukan pelaksanaan proyek sesuai standar prosedur menghasilkan hasil optimal berdasarkan memenuhi standar proyek penelitian mengimplementasikan framework standar manajemen proyek berdasarkan project management body of knowledge pmbok difokuskan domain project integration scope management penelitian mengintegrasikan domain pmbok menganalisa performa proyek balanced scorecard bsc key performance indicator kpi perspektif bsc diperoleh pengukuran kinerja domain fungsional pembobotan kpi fuzzy analytic network process fanp hasil bsc dijadikan acuan performa proyek uji coba sistem data proyek implementasi sap pt semen gresik tbk hasil uji coba fungsionalitas sistem berdasarkan pmbok berdasarkan user nilai perspektif bsc keempat kuadran fice internal process learning and growth customer kunci erp project integration and scope management balanced scorecard bsc fuzzy analytic network process fanp, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['manajemen', 'proyek', 'upaya', 'merencanakan', 'mengatur', 'melaksanakan', 'proyek', 'optimal', 'mencapai', 'sasaran', 'ditentukan', 'pelaksanaan', 'proyek', 'sesuai', 'standar', 'prosedur', 'menghasilkan', 'hasil', 'optimal', 'berdasarkan', 'memenuhi', 'standar', 'proyek', 'penelitian', 'mengimplementasikan', 'framework', 'standar', 'manajemen', 'proyek', 'berdasarkan', 'project', 'management', 'body', 'of', 'knowledge', 'pmbok', 'difokuskan', 'domain', 'project', 'integration', 'scope', 'management', 'penelitian', 'mengintegrasikan', 'domain', 'pmbok', 'menganalisa', 'performa', 'proyek', 'balanced', 'scorecard', 'bsc', 'key', 'performance', 'indicator', 'kpi', 'perspektif', 'bsc', 'diperoleh', 'pengukuran', 'kinerja', 'domain', 'fungsional', 'pembobotan', 'kpi', 'fuzzy', 'analytic', 'network', 'process', 'fanp', 'hasil', 'bsc', 'dijadikan', 'acuan', 'performa', 'proyek', 'uji', 'coba', 'sistem', 'data', 'proyek', 'implementasi', 'sap', 'pt', 'semen', 'gresik', 'tbk', 'hasil', 'uji', 'coba', 'fungsionalitas', 'sistem', 'berdasarkan', 'pmbok', 'berdasarkan', 'user', 'nilai', 'perspektif', 'bsc', 'keempat', 'kuadran', 'fice', 'internal', 'process', 'learning', 'and', 'growth', 'customer', 'kunci', 'erp', 'project', 'integration', 'and', 'scope', 'management', 'balanced', 'scorecard', 'bsc', 'fuzzy', 'analytic', 'network', 'process', 'fanp']"
Aplikasi Telemonitoring Obyek Wisata Menggunakan Augmented Reality Berbasis Lokasi,Ilfin ardini,"cucun very angkoso, S.T., M.T.","Ari Kusumaningsih, S.T., M.T.",pariwisata salah sektor memajukan daerah orang berupaya memajukan pariwisata daerahnya upaya memajukan pariwisata memanfaatkan kemajuan teknologi salah satunya memanfaatkan teknologi augmented reality ar sensor sensor device android global positioning system gps kompas akselerometer teknologi augmented reality ar memvisualisasikan obyek wisata bentuk marker ikon wisata bantuan kamera device sensor global positioning system gps posisi pengguna sistem menampilkan obyek wisata terdekat pengguna marker ikon wisata sensor kompas petunjuk arah tinya sistem memunculkan marker ikon wisata arah akselerometer menstabilkan posisi marker ikon wisata pengguna orientasi device berubah ubah penelitian bertujuan menghasilkan simulasi aplikasi menunjang mempermudah pengguna detail informasi informasi pengguna pengguna mengunjungi lokasi memanfaatkan teknologi augmented reality ar sensor sensor device android aplikasi dirancang sistem client server dimana database mysql server menyediakan informasi informasi obyek wisata device android client permintaan mengakses data berdasarkan implementasi disimpulkan aplikasi berjalan informasi akurat, Jurusan Teknik Informatika,RPL,"['pariwisata', 'salah', 'sektor', 'memajukan', 'daerah', 'orang', 'berupaya', 'memajukan', 'pariwisata', 'daerahnya', 'upaya', 'memajukan', 'pariwisata', 'memanfaatkan', 'kemajuan', 'teknologi', 'salah', 'satunya', 'memanfaatkan', 'teknologi', 'augmented', 'reality', 'ar', 'sensor', 'sensor', 'device', 'android', 'global', 'positioning', 'system', 'gps', 'kompas', 'akselerometer', 'teknologi', 'augmented', 'reality', 'ar', 'memvisualisasikan', 'obyek', 'wisata', 'bentuk', 'marker', 'ikon', 'wisata', 'bantuan', 'kamera', 'device', 'sensor', 'global', 'positioning', 'system', 'gps', 'posisi', 'pengguna', 'sistem', 'menampilkan', 'obyek', 'wisata', 'terdekat', 'pengguna', 'marker', 'ikon', 'wisata', 'sensor', 'kompas', 'petunjuk', 'arah', 'tinya', 'sistem', 'memunculkan', 'marker', 'ikon', 'wisata', 'arah', 'akselerometer', 'menstabilkan', 'posisi', 'marker', 'ikon', 'wisata', 'pengguna', 'orientasi', 'device', 'berubah', 'ubah', 'penelitian', 'bertujuan', 'menghasilkan', 'simulasi', 'aplikasi', 'menunjang', 'mempermudah', 'pengguna', 'detail', 'informasi', 'informasi', 'pengguna', 'pengguna', 'mengunjungi', 'lokasi', 'memanfaatkan', 'teknologi', 'augmented', 'reality', 'ar', 'sensor', 'sensor', 'device', 'android', 'aplikasi', 'dirancang', 'sistem', 'client', 'server', 'dimana', 'database', 'mysql', 'server', 'menyediakan', 'informasi', 'informasi', 'obyek', 'wisata', 'device', 'android', 'client', 'permintaan', 'mengakses', 'data', 'berdasarkan', 'implementasi', 'disimpulkan', 'aplikasi', 'berjalan', 'informasi', 'akurat']"
Interaksi MArkerless Augmented Reality Sebagai Media Buku Menu pada SONNEN Cafe Berbasis OS Android,Mochahmad Dannish Koosrivanto,"Arik Kurniawati, S.Kom., M.T.","Ari Kusumaningsih, S.T., M.T.",perkembangannya cafã media d media promosi tampilan produk penggunaan buku menu augmented reality ar konsep penggabungan obyek virtual d d dunia maya dunia nyata penerapan augmented reality buku menu promosi produk menarik bidang advertising metode markerless aplikasi augmented reality aplikasi bervariasi mengembangkan augmented reality library pendukung vuforia sdk salah satunya dimana vuforia sdk library pendukung augmented reality berintegrasi unity berdasarkan sistem ar virtual menus sonnen cafe obyek animasi berinteraksi menimbulkan animasi gerak perubahan texture audio uji lapangan responden memilih aplikasi terapkan sonnen cafã tingkat proses rendering obyek aplikasi terbaik berkisar detik uji device android terapkan sistem augmented reality, Jurusan Teknik Informatika,RPL,"['perkembangannya', 'cafã', 'media', 'd', 'media', 'promosi', 'tampilan', 'produk', 'penggunaan', 'buku', 'menu', 'augmented', 'reality', 'ar', 'konsep', 'penggabungan', 'obyek', 'virtual', 'd', 'd', 'dunia', 'maya', 'dunia', 'nyata', 'penerapan', 'augmented', 'reality', 'buku', 'menu', 'promosi', 'produk', 'menarik', 'bidang', 'advertising', 'metode', 'markerless', 'aplikasi', 'augmented', 'reality', 'aplikasi', 'bervariasi', 'mengembangkan', 'augmented', 'reality', 'library', 'pendukung', 'vuforia', 'sdk', 'salah', 'satunya', 'dimana', 'vuforia', 'sdk', 'library', 'pendukung', 'augmented', 'reality', 'berintegrasi', 'unity', 'berdasarkan', 'sistem', 'ar', 'virtual', 'menus', 'sonnen', 'cafe', 'obyek', 'animasi', 'berinteraksi', 'menimbulkan', 'animasi', 'gerak', 'perubahan', 'texture', 'audio', 'uji', 'lapangan', 'responden', 'memilih', 'aplikasi', 'terapkan', 'sonnen', 'cafã', 'tingkat', 'proses', 'rendering', 'obyek', 'aplikasi', 'terbaik', 'berkisar', 'detik', 'uji', 'device', 'android', 'terapkan', 'sistem', 'augmented', 'reality']"
IMPLEMENTASI DAN ANALISA HIDS (HOST BASED INTRUSION DETECTION SYSTEM) DENGAN SNORT UNTUK MENCEGAH DDOS (DISTRIBUTED DENIAL OF SERVICE),Masdian,"Dwi Kuswanto, S.Pd.,M.T.","Iwan Santosa, S.T, M.T.",hids host based intrusion detection system salah jenis ids intrusion detection system berjalan host berdiri perlengkapan jaringan hids pengawasan paket paket berasal alat peringatan user administrator sistem jaringan kegiatan kegiatan mencurigakan terdeteksi hids ddos host penyerang menyerang host target perbedaan serangan dos serangan dos bersifat lawan ddos lawan pertaha host target mudah dijebol dibanjiri traffic server host down diakses pengguya hids administrator jaringan mudah mencegah serangan ddos functionality hids mendeteksi variasi serangan icmp flood tcp flood udp flood berdasarkan percobaan rules snort perbandingan data client data penyerang berdasarkan percobaan kenaikan response time lambatnya response time paket data dikirim disebabkan rules snort menganalisa paket data masuk jangka false alarm, Jurusan Teknik Informatika,RPL,"['hids', 'host', 'based', 'intrusion', 'detection', 'system', 'salah', 'jenis', 'ids', 'intrusion', 'detection', 'system', 'berjalan', 'host', 'berdiri', 'perlengkapan', 'jaringan', 'hids', 'pengawasan', 'paket', 'paket', 'berasal', 'alat', 'peringatan', 'user', 'administrator', 'sistem', 'jaringan', 'kegiatan', 'kegiatan', 'mencurigakan', 'terdeteksi', 'hids', 'ddos', 'host', 'penyerang', 'menyerang', 'host', 'target', 'perbedaan', 'serangan', 'dos', 'serangan', 'dos', 'bersifat', 'lawan', 'ddos', 'lawan', 'pertaha', 'host', 'target', 'mudah', 'dijebol', 'dibanjiri', 'traffic', 'server', 'host', 'down', 'diakses', 'pengguya', 'hids', 'administrator', 'jaringan', 'mudah', 'mencegah', 'serangan', 'ddos', 'functionality', 'hids', 'mendeteksi', 'variasi', 'serangan', 'icmp', 'flood', 'tcp', 'flood', 'udp', 'flood', 'berdasarkan', 'percobaan', 'rules', 'snort', 'perbandingan', 'data', 'client', 'data', 'penyerang', 'berdasarkan', 'percobaan', 'kenaikan', 'response', 'time', 'lambatnya', 'response', 'time', 'paket', 'data', 'dikirim', 'disebabkan', 'rules', 'snort', 'menganalisa', 'paket', 'data', 'masuk', 'jangka', 'false', 'alarm']"
KLASIFIKASI DOKUMEN MENGGUNAKAN METODE EXPECTATION MAXIMIZATION ,Veki Nurkholis,"Mula'ab S.Si., M.Kom","Fika hastarita Rachman S.T., M.Eng",banyaknya informasi dokumen mendorong manusia mencari informasi dokumen singkat klasifikasi dokumen tugas membantu program studi teknik informatika proses pencarian dokumen cepat klasifikasi dokumen tugas mengelompokkan dokumen sesuai bidang minat jurusan teknik informatika universitas trunojoyo madura bidang minat sistem informasi rekayasa perangkat lunak multimedia sistem terdistribusi komputasi kecerdasan buatan pca principle component analisis pereduksi dimensi dokumen proposal seminar tugas dimana pca mengestraksi fitur dokumen mengambil ciri dokumen diklasifikasikan metode expectation maximization dimana metode expectation maximization salah metode pengklasifikasian pengujian memakai dokumen proposal seminar tugas dibagi dokumen training dokumen testing dokumen data training dokumen dokumen test pengujian klasifikasi expectation maximization menghasilkan nilai precision recall memiliki tingkat akurasi tingkat error rate kunci klasifikasi pca expectation maximization, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['banyaknya', 'informasi', 'dokumen', 'mendorong', 'manusia', 'mencari', 'informasi', 'dokumen', 'singkat', 'klasifikasi', 'dokumen', 'tugas', 'membantu', 'program', 'studi', 'teknik', 'informatika', 'proses', 'pencarian', 'dokumen', 'cepat', 'klasifikasi', 'dokumen', 'tugas', 'mengelompokkan', 'dokumen', 'sesuai', 'bidang', 'minat', 'jurusan', 'teknik', 'informatika', 'universitas', 'trunojoyo', 'madura', 'bidang', 'minat', 'sistem', 'informasi', 'rekayasa', 'perangkat', 'lunak', 'multimedia', 'sistem', 'terdistribusi', 'komputasi', 'kecerdasan', 'buatan', 'pca', 'principle', 'component', 'analisis', 'pereduksi', 'dimensi', 'dokumen', 'proposal', 'seminar', 'tugas', 'dimana', 'pca', 'mengestraksi', 'fitur', 'dokumen', 'mengambil', 'ciri', 'dokumen', 'diklasifikasikan', 'metode', 'expectation', 'maximization', 'dimana', 'metode', 'expectation', 'maximization', 'salah', 'metode', 'pengklasifikasian', 'pengujian', 'memakai', 'dokumen', 'proposal', 'seminar', 'tugas', 'dibagi', 'dokumen', 'training', 'dokumen', 'testing', 'dokumen', 'data', 'training', 'dokumen', 'dokumen', 'test', 'pengujian', 'klasifikasi', 'expectation', 'maximization', 'menghasilkan', 'nilai', 'precision', 'recall', 'memiliki', 'tingkat', 'akurasi', 'tingkat', 'error', 'rate', 'kunci', 'klasifikasi', 'pca', 'expectation', 'maximization']"
PENGENALAN KARAKTER PLAT NOMOR SEPEDA MOTOR MENGGUNAKAN METODE CONNECTED COMPONENT ANALYSIS DAN EUCLIDEAN DISTANCE,Rusmiati,"Rima Tri Wahyuningrum,S.T,M.T.","Bain Khusnul Khotimah S.T, M.Kom",area parkir gedung instansi pertokoan ditemukan petugas pintu masuk parkir bertugas mencatat plat nomor kendaraan karcis berfungsi karcis masuk manual dicatat rentan kesalahan sistem pencatat plat nomor kendaraan otomatis memudahkan membantu meningkatkan kecepatan mencatat plat nomor kendaraan area parkir efektif efisien penelitian sistem pengenalan karakter plat nomor kendaraan proses segmentasi metode connected component analysis pengenalan euclidean distance mengukur kemiripan data pelatihan training data ujicoba testing proses testing citra plat nomor ujicoba metode segmentasi connected component analysis berhasil segmentasi huruf angka persentase pengenalan metode euclidean distance mengenali karakter tingkat akurasi kunci connected component analysis plat nomor pengenalan karakter euclidean distance, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['area', 'parkir', 'gedung', 'instansi', 'pertokoan', 'ditemukan', 'petugas', 'pintu', 'masuk', 'parkir', 'bertugas', 'mencatat', 'plat', 'nomor', 'kendaraan', 'karcis', 'berfungsi', 'karcis', 'masuk', 'manual', 'dicatat', 'rentan', 'kesalahan', 'sistem', 'pencatat', 'plat', 'nomor', 'kendaraan', 'otomatis', 'memudahkan', 'membantu', 'meningkatkan', 'kecepatan', 'mencatat', 'plat', 'nomor', 'kendaraan', 'area', 'parkir', 'efektif', 'efisien', 'penelitian', 'sistem', 'pengenalan', 'karakter', 'plat', 'nomor', 'kendaraan', 'proses', 'segmentasi', 'metode', 'connected', 'component', 'analysis', 'pengenalan', 'euclidean', 'distance', 'mengukur', 'kemiripan', 'data', 'pelatihan', 'training', 'data', 'ujicoba', 'testing', 'proses', 'testing', 'citra', 'plat', 'nomor', 'ujicoba', 'metode', 'segmentasi', 'connected', 'component', 'analysis', 'berhasil', 'segmentasi', 'huruf', 'angka', 'persentase', 'pengenalan', 'metode', 'euclidean', 'distance', 'mengenali', 'karakter', 'tingkat', 'akurasi', 'kunci', 'connected', 'component', 'analysis', 'plat', 'nomor', 'pengenalan', 'karakter', 'euclidean', 'distance']"
âKLASIFIKASI PENDAPAT MASYARAKAT DUNIA MAYA TERHADAP PARTAI POLITIK DENGAN METODEEXPECTATION MAXIMIZATIONâ,Habiburrahman,"Mulaâab S.Si., M.Kom","Fika Hastarita R. S.T.,M.Eng",meningkatnya teknologi informasi memudahkan masyarakat berkomunikasi media jejaring sosial media jejaring sosial masyarakat pendapatnya fasilitas web service dilakukannya crawling mengumpulkan pendapat masyarakat tersebar dunia jejaring sosial twitter metode expectation maximization mengklasifikasikan pendapat berdasarkan kelas ditentukan positif negatif netral pendapat dikumpulkan ditampilkan bentuk persebaran peta digital persebaran pendapat pendapat didasarkan daerahnya dibutuhkan aplikasi menghimpun pendapat masyarakat mengklasifikasikannya menampilkannya bentuk persebaran peta realtime diharapkan aplikasi menjadikannya salah referensi persebaran pendapat masyarakat hasil uji coba data training berbeda data testing memeberikan hasil maksimal nilai precision hasil maksimal dicapai data training memiliki nilai akurasi data training testing berdekatan twitter bertema partai bersifat dinamis hasil visualisasi peta memperoleh tweet ditampilkan minimnya user akses garis lintang bujurnya, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['meningkatnya', 'teknologi', 'informasi', 'memudahkan', 'masyarakat', 'berkomunikasi', 'media', 'jejaring', 'sosial', 'media', 'jejaring', 'sosial', 'masyarakat', 'pendapatnya', 'fasilitas', 'web', 'service', 'dilakukannya', 'crawling', 'mengumpulkan', 'pendapat', 'masyarakat', 'tersebar', 'dunia', 'jejaring', 'sosial', 'twitter', 'metode', 'expectation', 'maximization', 'mengklasifikasikan', 'pendapat', 'berdasarkan', 'kelas', 'ditentukan', 'positif', 'negatif', 'netral', 'pendapat', 'dikumpulkan', 'ditampilkan', 'bentuk', 'persebaran', 'peta', 'digital', 'persebaran', 'pendapat', 'pendapat', 'didasarkan', 'daerahnya', 'dibutuhkan', 'aplikasi', 'menghimpun', 'pendapat', 'masyarakat', 'mengklasifikasikannya', 'menampilkannya', 'bentuk', 'persebaran', 'peta', 'realtime', 'diharapkan', 'aplikasi', 'menjadikannya', 'salah', 'referensi', 'persebaran', 'pendapat', 'masyarakat', 'hasil', 'uji', 'coba', 'data', 'training', 'berbeda', 'data', 'testing', 'memeberikan', 'hasil', 'maksimal', 'nilai', 'precision', 'hasil', 'maksimal', 'dicapai', 'data', 'training', 'memiliki', 'nilai', 'akurasi', 'data', 'training', 'testing', 'berdekatan', 'twitter', 'bertema', 'partai', 'bersifat', 'dinamis', 'hasil', 'visualisasi', 'peta', 'memperoleh', 'tweet', 'ditampilkan', 'minimnya', 'user', 'akses', 'garis', 'lintang', 'bujurnya']"
SISTEM PEROLEHAN CITRA BERBASIS ISI BERDASARKAN TEKSTUR MENGGUNAKAN METODE GABOR FILTER DAN EUCLIDEAN DISTANCE,BASIR QIYAM JULIANDI,"Dr. ARIF MUNTASA, S.Si., MT","FITRI DAMAYANTI, S.Kom., M.kom.",pencarian citra berbasis teks efektif penilaian subjektif pengguna merepresentasikan citra sistem megani pencarian citra query citra sistem perolehan citra berbasis isi spci content based image retrieval cbir cbir memodifikasi merubah nama filenya image searching rancu didasarkan teks nama file berdasarkan ciri warna bentuk tekstur penelitian tugas ciri tekstur proses pencarian kemiripan delapan kelas citra berbeda bangu bus dinosaurus gajah gunung kuda mawar pantai objek perolehan citra berbasis isi sistem dibangun proses utamanya ekstraksi fitur tekstur metode gabor filter hasil ekstraksi fitur pengukuran kemiripan feature vector citra diekstraksi tersimpan database metode euclidean distance citra query citra database citra delapan kelas citra didalamnya uji coba aplikasi pengukuran kemiripan euclidean distance nilai threshold diperoleh akurasi presisi data pelatihan data uji coba ukuran kernel x citra ditampilkan citra termirip citra query pengenalan terbaik kelas bangu akurasi presisi kunci tekstur sistem perolehan citra berbasis isi gabor filter euclidean distance, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['pencarian', 'citra', 'berbasis', 'teks', 'efektif', 'penilaian', 'subjektif', 'pengguna', 'merepresentasikan', 'citra', 'sistem', 'megani', 'pencarian', 'citra', 'query', 'citra', 'sistem', 'perolehan', 'citra', 'berbasis', 'isi', 'spci', 'content', 'based', 'image', 'retrieval', 'cbir', 'cbir', 'memodifikasi', 'merubah', 'nama', 'filenya', 'image', 'searching', 'rancu', 'didasarkan', 'teks', 'nama', 'file', 'berdasarkan', 'ciri', 'warna', 'bentuk', 'tekstur', 'penelitian', 'tugas', 'ciri', 'tekstur', 'proses', 'pencarian', 'kemiripan', 'delapan', 'kelas', 'citra', 'berbeda', 'bangu', 'bus', 'dinosaurus', 'gajah', 'gunung', 'kuda', 'mawar', 'pantai', 'objek', 'perolehan', 'citra', 'berbasis', 'isi', 'sistem', 'dibangun', 'proses', 'utamanya', 'ekstraksi', 'fitur', 'tekstur', 'metode', 'gabor', 'filter', 'hasil', 'ekstraksi', 'fitur', 'pengukuran', 'kemiripan', 'feature', 'vector', 'citra', 'diekstraksi', 'tersimpan', 'database', 'metode', 'euclidean', 'distance', 'citra', 'query', 'citra', 'database', 'citra', 'delapan', 'kelas', 'citra', 'didalamnya', 'uji', 'coba', 'aplikasi', 'pengukuran', 'kemiripan', 'euclidean', 'distance', 'nilai', 'threshold', 'diperoleh', 'akurasi', 'presisi', 'data', 'pelatihan', 'data', 'uji', 'coba', 'ukuran', 'kernel', 'x', 'citra', 'ditampilkan', 'citra', 'termirip', 'citra', 'query', 'pengenalan', 'terbaik', 'kelas', 'bangu', 'akurasi', 'presisi', 'kunci', 'tekstur', 'sistem', 'perolehan', 'citra', 'berbasis', 'isi', 'gabor', 'filter', 'euclidean', 'distance']"
