Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
IMPLEMENTASI  METODE N-GRAM PADA PEMBUATAN GAME FIGHTING MADURA BERBASIS ANDROID OS MOBILE,Farizal Arifin,"Arik Kurniawati S.Kom., M.T","Cucun Very Angkoso, S.T., M.T",teknologi mobile game kembang pesat mobile game milik minat kalang ragam variasi dasar kembang kembang mobile game teliti game fighting platform android game fighting salah genre video game mana player kontrol karakter layar permai tarung jarak close combat lawan game fighting implementasi metode n gram metode n gram terap buat gera npc non playable character tarung npc prediksi gera lawan metode n gram gera player npc prediksi gera prediksi akurat banyak key cipta prediksi gera gera gera metode cenderung npc tahan player gerak agresif serang hasil uji game fighting jalan emulator smartphone android milik resolusi screen x pixels aplikasi game jalan lancar tipe smartphone android milik resolusi screen x pixels tampil sempurna, Jurusan Teknik Informatika,RPL,"['teknologi', 'mobile', 'game', 'kembang', 'pesat', 'mobile', 'game', 'milik', 'minat', 'kalang', 'ragam', 'variasi', 'dasar', 'kembang', 'kembang', 'mobile', 'game', 'teliti', 'game', 'fighting', 'platform', 'android', 'game', 'fighting', 'salah', 'genre', 'video', 'game', 'mana', 'player', 'kontrol', 'karakter', 'layar', 'permai', 'tarung', 'jarak', 'close', 'combat', 'lawan', 'game', 'fighting', 'implementasi', 'metode', 'n', 'gram', 'metode', 'n', 'gram', 'terap', 'buat', 'gera', 'npc', 'non', 'playable', 'character', 'tarung', 'npc', 'prediksi', 'gera', 'lawan', 'metode', 'n', 'gram', 'gera', 'player', 'npc', 'prediksi', 'gera', 'prediksi', 'akurat', 'banyak', 'key', 'cipta', 'prediksi', 'gera', 'gera', 'gera', 'metode', 'cenderung', 'npc', 'tahan', 'player', 'gerak', 'agresif', 'serang', 'hasil', 'uji', 'game', 'fighting', 'jalan', 'emulator', 'smartphone', 'android', 'milik', 'resolusi', 'screen', 'x', 'pixels', 'aplikasi', 'game', 'jalan', 'lancar', 'tipe', 'smartphone', 'android', 'milik', 'resolusi', 'screen', 'x', 'pixels', 'tampil', 'sempurna']"
IMPLEMENTASI PERFORMANCE PRISM UNTUK SISTEM PENGUKURAN KINERJA PERUSAHAAN,Luhur Priyantoko Aji,"BAIN KHUSNUL KHOTIMAH, S.T., M.Kom.","Khamdi Mubarok, S.T., M.Eng.",ukur kerja proses organisasi tetap parameter hasil capai program investasi akusisi ukur kerja usaha indikator tingkat penuru indeks produktivitas tolak ukur usaha ukur kerja ukur kerja salah satu terap pt preshion engineering plastec surabaya kuasa pasar tahan langgan performance prism metode timbang butuh keingi stakeholder tinya jadi dasar susun key performance indicators kpi kpi bobot anp scoring objective matrix omax indeks produktivitas kerja usaha hasil teliti evaluasi kerja pt preshion engineering plastec surabaya dapat stakeholder subkriteria kpi kpi kpi profit growth bobot normal kpi rapat bobot rendah indeks produktivitas usaha alami penuru akibat kpi capai bawah target indeks produktivitas usaha alami naik, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['ukur', 'kerja', 'proses', 'organisasi', 'tetap', 'parameter', 'hasil', 'capai', 'program', 'investasi', 'akusisi', 'ukur', 'kerja', 'usaha', 'indikator', 'tingkat', 'penuru', 'indeks', 'produktivitas', 'tolak', 'ukur', 'usaha', 'ukur', 'kerja', 'ukur', 'kerja', 'salah', 'satu', 'terap', 'pt', 'preshion', 'engineering', 'plastec', 'surabaya', 'kuasa', 'pasar', 'tahan', 'langgan', 'performance', 'prism', 'metode', 'timbang', 'butuh', 'keingi', 'stakeholder', 'tinya', 'jadi', 'dasar', 'susun', 'key', 'performance', 'indicators', 'kpi', 'kpi', 'bobot', 'anp', 'scoring', 'objective', 'matrix', 'omax', 'indeks', 'produktivitas', 'kerja', 'usaha', 'hasil', 'teliti', 'evaluasi', 'kerja', 'pt', 'preshion', 'engineering', 'plastec', 'surabaya', 'dapat', 'stakeholder', 'subkriteria', 'kpi', 'kpi', 'kpi', 'profit', 'growth', 'bobot', 'normal', 'kpi', 'rapat', 'bobot', 'rendah', 'indeks', 'produktivitas', 'usaha', 'alami', 'penuru', 'akibat', 'kpi', 'capai', 'bawah', 'target', 'indeks', 'produktivitas', 'usaha', 'alami', 'naik']"
PENGEMBANGAN VIRTUAL CLASS UNTUK PEMBELAJARAN INTERAKTIF MATA PELAJARAN MATEMATIKA SISWA SMP BERBASIS SECOND LIFE,Dwi Adi Permana,"Arik Kurniawati,S.Kom, M.Kom",Dr. Indah Aguestien S,internet kembang cepat internet gabung situs jejaring sosial main games online belanja shop online download browsing info info butuh dunia didik ramai dunia internet ajar jarak virtual class games didik tugas bangun aplikasi virtual class matematika siswa smp bas second life tuju utama tugas media ajar terap teknologi mata ajar virtual class matematika bas second life virtual class online second life aplikasi virtual class bagi bab materi mata ajar matematika siswa smp kelas vii dalam virtual class evaluasi bab nilai evaluasi kkm kriteria kelulus minimal siswa wajib dalam materi evaluasi ulang kkm nya kkm mata ajar matematika siswa vii smp negeri tulang nilai kendala uji coba aplikasi kurang koneksi internet kuat aplikasi sifat online perlu konekasi internet lumayan tinggikata kunci internet virtual class second life matematika, Jurusan Teknik Informatika,RPL,"['internet', 'kembang', 'cepat', 'internet', 'gabung', 'situs', 'jejaring', 'sosial', 'main', 'games', 'online', 'belanja', 'shop', 'online', 'download', 'browsing', 'info', 'info', 'butuh', 'dunia', 'didik', 'ramai', 'dunia', 'internet', 'ajar', 'jarak', 'virtual', 'class', 'games', 'didik', 'tugas', 'bangun', 'aplikasi', 'virtual', 'class', 'matematika', 'siswa', 'smp', 'bas', 'second', 'life', 'tuju', 'utama', 'tugas', 'media', 'ajar', 'terap', 'teknologi', 'mata', 'ajar', 'virtual', 'class', 'matematika', 'bas', 'second', 'life', 'virtual', 'class', 'online', 'second', 'life', 'aplikasi', 'virtual', 'class', 'bagi', 'bab', 'materi', 'mata', 'ajar', 'matematika', 'siswa', 'smp', 'kelas', 'vii', 'dalam', 'virtual', 'class', 'evaluasi', 'bab', 'nilai', 'evaluasi', 'kkm', 'kriteria', 'kelulus', 'minimal', 'siswa', 'wajib', 'dalam', 'materi', 'evaluasi', 'ulang', 'kkm', 'nya', 'kkm', 'mata', 'ajar', 'matematika', 'siswa', 'vii', 'smp', 'negeri', 'tulang', 'nilai', 'kendala', 'uji', 'coba', 'aplikasi', 'kurang', 'koneksi', 'internet', 'kuat', 'aplikasi', 'sifat', 'online', 'perlu', 'konekasi', 'internet', 'lumayan', 'tinggikata', 'kunci', 'internet', 'virtual', 'class', 'second', 'life', 'matematika']"
ANALISIS DAN PENERAPAN ALGORITMA PARTICLE SWARM OPTIMIZATION PADA OPTIMASI PENJADWALAN MATA KULIAH DI JURUSAN TEKNIK INFORMATIKA UNIVERSITAS TRUNOJOYO MADURA,Qomarul Haryadi Irfan Rifa'i,"Bain Khusnul Hotimah S.T., M.Kom.","Arik Kurniawati, S.Kom, M.T.",jadwal mata kuliah program studi teknik informatika universitas trunojoyo madura ganti semester faktor dukung jadwal mata kuliah dosen mahasiswa mata kuliah ruang sedia masalah optimasi jadwal ajar cari metodologi dekat teknis kembang solusi alternatif tawar teliti algoritma particle swarm optimized pso utnuk optimasi jadwal kuliah algoritma pso milik tool tool handal guna mudah hasil teliti algoritma particle swarm optimiztion terap optimasi jadwal mata kuliah maksimal guna parameter parameter algoritma particle swarm optimiztion nilai w optimal nilai velocity nilai c c nilai w nilai c c, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['jadwal', 'mata', 'kuliah', 'program', 'studi', 'teknik', 'informatika', 'universitas', 'trunojoyo', 'madura', 'ganti', 'semester', 'faktor', 'dukung', 'jadwal', 'mata', 'kuliah', 'dosen', 'mahasiswa', 'mata', 'kuliah', 'ruang', 'sedia', 'masalah', 'optimasi', 'jadwal', 'ajar', 'cari', 'metodologi', 'dekat', 'teknis', 'kembang', 'solusi', 'alternatif', 'tawar', 'teliti', 'algoritma', 'particle', 'swarm', 'optimized', 'pso', 'utnuk', 'optimasi', 'jadwal', 'kuliah', 'algoritma', 'pso', 'milik', 'tool', 'tool', 'handal', 'guna', 'mudah', 'hasil', 'teliti', 'algoritma', 'particle', 'swarm', 'optimiztion', 'terap', 'optimasi', 'jadwal', 'mata', 'kuliah', 'maksimal', 'guna', 'parameter', 'parameter', 'algoritma', 'particle', 'swarm', 'optimiztion', 'nilai', 'w', 'optimal', 'nilai', 'velocity', 'nilai', 'c', 'c', 'nilai', 'w', 'nilai', 'c', 'c']"
Rancang Bangun Sistem Pendukung Keputusan Penentuan Pemberian Bantuan RASKIN Menggunakan Metode SMARTER(Studi Kasus : Kecamatan Batuan Kabupaten Sumenep),Ayu Winda Istara,"Andharini Dwi Cahyani, S.Kom, M.Kom","Fika Hastarita Rachman, ST, M.Eng",iring ubah paradigma pembangu ekonomi fokus peggulangan kemiski perintah tuntut entas kemiski program program entas kemiski salah program entas kemiski laksana perintah program raskin metode pakai teliti smarter simple multi attribute rating technique exploiting ranks metode smarter metode multiple criteria decision making mcdm metode pilih metode smarter bentuk model dukung putus ambil putus kriteria agam tinya pecah ambil putus teliti camat batu kabupaten sumenep parameter kemiski sumber air minum kali makan mampu beli daging ayam susu minggu bahan bakar masak pakai sumber terang aset minimal lapang kerja buang air jenis lantai rumah jenis dinding rumah luas lantai rumah mampu obat sakit ijazah teliti sistem dukung putus metode smarter menganalisa kriteria tinya tentu duduk layak terima bantu raskin sistem milik tingkat akurasi banding data rill kunci raskin sistem dukung putus smarter, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['iring', 'ubah', 'paradigma', 'pembangu', 'ekonomi', 'fokus', 'peggulangan', 'kemiski', 'perintah', 'tuntut', 'entas', 'kemiski', 'program', 'program', 'entas', 'kemiski', 'salah', 'program', 'entas', 'kemiski', 'laksana', 'perintah', 'program', 'raskin', 'metode', 'pakai', 'teliti', 'smarter', 'simple', 'multi', 'attribute', 'rating', 'technique', 'exploiting', 'ranks', 'metode', 'smarter', 'metode', 'multiple', 'criteria', 'decision', 'making', 'mcdm', 'metode', 'pilih', 'metode', 'smarter', 'bentuk', 'model', 'dukung', 'putus', 'ambil', 'putus', 'kriteria', 'agam', 'tinya', 'pecah', 'ambil', 'putus', 'teliti', 'camat', 'batu', 'kabupaten', 'sumenep', 'parameter', 'kemiski', 'sumber', 'air', 'minum', 'kali', 'makan', 'mampu', 'beli', 'daging', 'ayam', 'susu', 'minggu', 'bahan', 'bakar', 'masak', 'pakai', 'sumber', 'terang', 'aset', 'minimal', 'lapang', 'kerja', 'buang', 'air', 'jenis', 'lantai', 'rumah', 'jenis', 'dinding', 'rumah', 'luas', 'lantai', 'rumah', 'mampu', 'obat', 'sakit', 'ijazah', 'teliti', 'sistem', 'dukung', 'putus', 'metode', 'smarter', 'menganalisa', 'kriteria', 'tinya', 'tentu', 'duduk', 'layak', 'terima', 'bantu', 'raskin', 'sistem', 'milik', 'tingkat', 'akurasi', 'banding', 'data', 'rill', 'kunci', 'raskin', 'sistem', 'dukung', 'putus', 'smarter']"
RANCANG BANGUN APLIKASI SEARCH ENGINE DAN SISTEM PENDETEKSI PLAGIARISME MENGGUNAKAN METODE LSA-SOM,ARIS PRAMA AULIA,"Hermawan, ST., M.Kom","Dr. Indah Agustien S, S.Kom, M.Kom.",plagiarisme curi gagas kalimat hasil teliti orang saji olah karya metode lsa salah metode metode deteksi plagiarisme metode latent semantic analysis lsa teori metode gali presentasi konteks arti manfaat komputasi statistik corpus guna lsa konvensional sifat sekuensial klasterisasi proses analisa global dokumen komputasi teknik klasifikasi awas guna self organizing map som uji similaritas global centroid kluster uji similaritas lokal klaster pilih klaster hasil teliti lsa som milik precision recall kunci cosine similarity latent semantic analysis plagiarisme self organizing map singular value decomposition, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['plagiarisme', 'curi', 'gagas', 'kalimat', 'hasil', 'teliti', 'orang', 'saji', 'olah', 'karya', 'metode', 'lsa', 'salah', 'metode', 'metode', 'deteksi', 'plagiarisme', 'metode', 'latent', 'semantic', 'analysis', 'lsa', 'teori', 'metode', 'gali', 'presentasi', 'konteks', 'arti', 'manfaat', 'komputasi', 'statistik', 'corpus', 'guna', 'lsa', 'konvensional', 'sifat', 'sekuensial', 'klasterisasi', 'proses', 'analisa', 'global', 'dokumen', 'komputasi', 'teknik', 'klasifikasi', 'awas', 'guna', 'self', 'organizing', 'map', 'som', 'uji', 'similaritas', 'global', 'centroid', 'kluster', 'uji', 'similaritas', 'lokal', 'klaster', 'pilih', 'klaster', 'hasil', 'teliti', 'lsa', 'som', 'milik', 'precision', 'recall', 'kunci', 'cosine', 'similarity', 'latent', 'semantic', 'analysis', 'plagiarisme', 'self', 'organizing', 'map', 'singular', 'value', 'decomposition']"
Rancang Bangun CRM Berbasis SMS Gateway disertai Peramalan Pergudangan dengan Metode Fuzzy Time Series,Akhmad Tajuddin Tholaby MS.,"Fika Hastarita R, S.T., M.Eng.","Firli Irhamni, ST. M. Kom.",kub rumput laut mitra bahari usaha gerak bidang produksi rumput laut sistem produksi dasar inventori stok gudang produksi minta jual akibat minta jual lebih stok kub rumput laut mitra bahari penuh minta minta jual hasil produksi sisa produk jual usaha manfaat hubung crm langgan usaha bas sms gateway cepat mudah hubung langgan usaha atas tugas aplikasi crm bas sms gateway serta amal gudang metode fuzzy time series hubung crm bas sms gateway langgan usaha mudah cepat hubung langgan usaha usaha harap langgan samping teliti aplikasi amal gudang tinya tindak lanjut informasi peluang pasok bahan mentah pasok bas sms gateway hasil amal usaha stok data produksi butuh periode kunci crm gudang fuzzy time series sms gateway, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['kub', 'rumput', 'laut', 'mitra', 'bahari', 'usaha', 'gerak', 'bidang', 'produksi', 'rumput', 'laut', 'sistem', 'produksi', 'dasar', 'inventori', 'stok', 'gudang', 'produksi', 'minta', 'jual', 'akibat', 'minta', 'jual', 'lebih', 'stok', 'kub', 'rumput', 'laut', 'mitra', 'bahari', 'penuh', 'minta', 'minta', 'jual', 'hasil', 'produksi', 'sisa', 'produk', 'jual', 'usaha', 'manfaat', 'hubung', 'crm', 'langgan', 'usaha', 'bas', 'sms', 'gateway', 'cepat', 'mudah', 'hubung', 'langgan', 'usaha', 'atas', 'tugas', 'aplikasi', 'crm', 'bas', 'sms', 'gateway', 'serta', 'amal', 'gudang', 'metode', 'fuzzy', 'time', 'series', 'hubung', 'crm', 'bas', 'sms', 'gateway', 'langgan', 'usaha', 'mudah', 'cepat', 'hubung', 'langgan', 'usaha', 'usaha', 'harap', 'langgan', 'samping', 'teliti', 'aplikasi', 'amal', 'gudang', 'tinya', 'tindak', 'lanjut', 'informasi', 'peluang', 'pasok', 'bahan', 'mentah', 'pasok', 'bas', 'sms', 'gateway', 'hasil', 'amal', 'usaha', 'stok', 'data', 'produksi', 'butuh', 'periode', 'kunci', 'crm', 'gudang', 'fuzzy', 'time', 'series', 'sms', 'gateway']"
Pengenalan Tipe Huruf Aksara di Indonesia Menggunakan Edge Direction Matrix (Batak Toba, Kaganga, Carakan, Had Lampung),sulayhah,"Bain Khusnul khotimah, S.T.,M.Kom",Kecerdasan Komputasional,['sulayhah']
Sistem Pendukung Keputusan Penentuan Prioritas Produk Unggulan Daerah Dengan Menggunakan Metode F-AHP Studi Kasus Kabupaten Bangkalan,Setia Kurniawan,"Mula'ab. S. Si,. M. Kom","Riza Alfita. S. T,. M. T",saing produk unggul daerah ketat iring tingkat laju tumbuh industri teknologi saing akibat industri jeli rumus strategi bijak ambil putus tentu prioritas produk unggul daerah sesuai butuh mampu putus akurat efektif salah pilih meminimalisir rugi segi biaya teliti metode fuzzy analytic hierarchy process fahp milik lebih mana kir skala sifat tunggal fuzzy ahp kurang faktor subyektivitas kriteria sub kriteria metode harap kembang software sistem dukung putus instansi instansi pilih barang alternatif pilih nilai bobot banding alternatif kriteria kriteria omset tenaga kerja target pasar bahan baku badan usaha kunci sistem dukung putus produk unggul metode fahp, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['saing', 'produk', 'unggul', 'daerah', 'ketat', 'iring', 'tingkat', 'laju', 'tumbuh', 'industri', 'teknologi', 'saing', 'akibat', 'industri', 'jeli', 'rumus', 'strategi', 'bijak', 'ambil', 'putus', 'tentu', 'prioritas', 'produk', 'unggul', 'daerah', 'sesuai', 'butuh', 'mampu', 'putus', 'akurat', 'efektif', 'salah', 'pilih', 'meminimalisir', 'rugi', 'segi', 'biaya', 'teliti', 'metode', 'fuzzy', 'analytic', 'hierarchy', 'process', 'fahp', 'milik', 'lebih', 'mana', 'kir', 'skala', 'sifat', 'tunggal', 'fuzzy', 'ahp', 'kurang', 'faktor', 'subyektivitas', 'kriteria', 'sub', 'kriteria', 'metode', 'harap', 'kembang', 'software', 'sistem', 'dukung', 'putus', 'instansi', 'instansi', 'pilih', 'barang', 'alternatif', 'pilih', 'nilai', 'bobot', 'banding', 'alternatif', 'kriteria', 'kriteria', 'omset', 'tenaga', 'kerja', 'target', 'pasar', 'bahan', 'baku', 'badan', 'usaha', 'kunci', 'sistem', 'dukung', 'putus', 'produk', 'unggul', 'metode', 'fahp']"
RANCANG BANGUN APLIKASI ENKRIPSI  SMS MENGGUNAKAN METODE RC4 BERBASIS PLATFORM ANDROID,Mohamad Eko Sudarmono,"Moh. Kautsar Sophan, S.Kom., M.MT","BAIN KHUSNUL KHOTIMAH, S.T., M.Kom",kembang teknologi informasi dekade ubah pesat teknologi informasi sampai informasi jarak mudah salah teknologi telekomunikasi janji cepat sampai sort message service sms teknologi sms guna tukar pesan orang cepat mudah tugas kembang aplikasi telepon selular modifikasi pesan sms cipherteks isi informasi sms orang kirim sms sistem enkripsi pesan cipherteks key diinputkan kirim kirim nomor tuju terima sms sistem mendekripsi cipherteks plainteks key diinputkan terima tampil pesan asli terima aplikasi manfaat kirim informasi rahasia orang sms takut informasi pesan orang metode sistem enkripsi mendekripsi pesan metode enkripsi rc implementasi bahasa pemrograman java development kit tools application programing intervace api android sdk kunci sort message service sms enkripsi dekripsi rc android, Jurusan Teknik Informatika,RPL,"['kembang', 'teknologi', 'informasi', 'dekade', 'ubah', 'pesat', 'teknologi', 'informasi', 'sampai', 'informasi', 'jarak', 'mudah', 'salah', 'teknologi', 'telekomunikasi', 'janji', 'cepat', 'sampai', 'sort', 'message', 'service', 'sms', 'teknologi', 'sms', 'guna', 'tukar', 'pesan', 'orang', 'cepat', 'mudah', 'tugas', 'kembang', 'aplikasi', 'telepon', 'selular', 'modifikasi', 'pesan', 'sms', 'cipherteks', 'isi', 'informasi', 'sms', 'orang', 'kirim', 'sms', 'sistem', 'enkripsi', 'pesan', 'cipherteks', 'key', 'diinputkan', 'kirim', 'kirim', 'nomor', 'tuju', 'terima', 'sms', 'sistem', 'mendekripsi', 'cipherteks', 'plainteks', 'key', 'diinputkan', 'terima', 'tampil', 'pesan', 'asli', 'terima', 'aplikasi', 'manfaat', 'kirim', 'informasi', 'rahasia', 'orang', 'sms', 'takut', 'informasi', 'pesan', 'orang', 'metode', 'sistem', 'enkripsi', 'mendekripsi', 'pesan', 'metode', 'enkripsi', 'rc', 'implementasi', 'bahasa', 'pemrograman', 'java', 'development', 'kit', 'tools', 'application', 'programing', 'intervace', 'api', 'android', 'sdk', 'kunci', 'sort', 'message', 'service', 'sms', 'enkripsi', 'dekripsi', 'rc', 'android']"
SISTEM PEROLEHAN CITRA BERBASIS ISIMENGGUNAKAN GRLM BERDASARKAN CIRI TEKSTUR PADA POLA BATIK,Priagung Safara Dila,"Mula'ab . S.Si ,. M,.Kom","Bain Khusnul Khotimah .S.T,. M.,Kom",batik seni hidup masyarakat indonesia keanekaragaman batik wilayah provinsi simbol karakteristik ciri pola batik beda beda daerah batik tumbuh kembang tugas hasil sistem oleh citra bas isi spci ciri tekstur tuju ciri pola batik spci metode teknik cari gambar citra similar banding citra query citra basis data teliti ciri tekstur proses cari mirip delapan wilayah citra batik beda cirebon bal bangkal pamekasan sumenep yogyakarta solo kalong obyek oleh citra bas isi sistem bangun proses utama ekstraksi fitur tekstur metode gray level run length matrix glrm glrm rangkai pasang nilai i j baris piksel arah hasil ekstraksi fitur ukur jarak mirip metode euclidean distance uji coba aplikasi ukur mirip euclidean distance nilai threshold oleh akurasi presisi data latih data uji coba citra tampil kunci tekstur sistem oleh citra bas isi gray level run length matrix euclidean distance, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['batik', 'seni', 'hidup', 'masyarakat', 'indonesia', 'keanekaragaman', 'batik', 'wilayah', 'provinsi', 'simbol', 'karakteristik', 'ciri', 'pola', 'batik', 'beda', 'beda', 'daerah', 'batik', 'tumbuh', 'kembang', 'tugas', 'hasil', 'sistem', 'oleh', 'citra', 'bas', 'isi', 'spci', 'ciri', 'tekstur', 'tuju', 'ciri', 'pola', 'batik', 'spci', 'metode', 'teknik', 'cari', 'gambar', 'citra', 'similar', 'banding', 'citra', 'query', 'citra', 'basis', 'data', 'teliti', 'ciri', 'tekstur', 'proses', 'cari', 'mirip', 'delapan', 'wilayah', 'citra', 'batik', 'beda', 'cirebon', 'bal', 'bangkal', 'pamekasan', 'sumenep', 'yogyakarta', 'solo', 'kalong', 'obyek', 'oleh', 'citra', 'bas', 'isi', 'sistem', 'bangun', 'proses', 'utama', 'ekstraksi', 'fitur', 'tekstur', 'metode', 'gray', 'level', 'run', 'length', 'matrix', 'glrm', 'glrm', 'rangkai', 'pasang', 'nilai', 'i', 'j', 'baris', 'piksel', 'arah', 'hasil', 'ekstraksi', 'fitur', 'ukur', 'jarak', 'mirip', 'metode', 'euclidean', 'distance', 'uji', 'coba', 'aplikasi', 'ukur', 'mirip', 'euclidean', 'distance', 'nilai', 'threshold', 'oleh', 'akurasi', 'presisi', 'data', 'latih', 'data', 'uji', 'coba', 'citra', 'tampil', 'kunci', 'tekstur', 'sistem', 'oleh', 'citra', 'bas', 'isi', 'gray', 'level', 'run', 'length', 'matrix', 'euclidean', 'distance']"
Sistem Pendukung Keputusan Rehabilitasi Bangunan Bersejarah Dengan Menggunakan Metode Fuzzy Analytical Hierarchy Process (F-AHP) Berbasis Spasial.,Endra Budi Arief,"Mula'ab. S. Si,. M. Kom","Riza Alfita. S. T,. M. T",bangu sejarah salah tinggal cagar budaya kota kandung cerita jaman perang merdeka lestari nilai pariwisata kota surabaya karakteristik alami penuru kondisi indikasi rusa fisik bangunya tahan kondisi bangu sesuai umur rencana rencana bangu diri giat rehabilitasi pelihara pembangu dasar tingkat rusa bangu evaluasi analisis multi kriteria hubung batas anggar prioritas dasar kriteria pega bangu mekanisme rencana pembangu daerah teliti metode fuzzy analytical hierarchy process fahp kembang thomas l saaty prioritas rehabilitasi bangu tampil mapserver letak bangunya indikasi rusak rusak berat kunci bangu sejarah analisis multi kriteria fuzzy ahp mapserver, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['bangu', 'sejarah', 'salah', 'tinggal', 'cagar', 'budaya', 'kota', 'kandung', 'cerita', 'jaman', 'perang', 'merdeka', 'lestari', 'nilai', 'pariwisata', 'kota', 'surabaya', 'karakteristik', 'alami', 'penuru', 'kondisi', 'indikasi', 'rusa', 'fisik', 'bangunya', 'tahan', 'kondisi', 'bangu', 'sesuai', 'umur', 'rencana', 'rencana', 'bangu', 'diri', 'giat', 'rehabilitasi', 'pelihara', 'pembangu', 'dasar', 'tingkat', 'rusa', 'bangu', 'evaluasi', 'analisis', 'multi', 'kriteria', 'hubung', 'batas', 'anggar', 'prioritas', 'dasar', 'kriteria', 'pega', 'bangu', 'mekanisme', 'rencana', 'pembangu', 'daerah', 'teliti', 'metode', 'fuzzy', 'analytical', 'hierarchy', 'process', 'fahp', 'kembang', 'thomas', 'l', 'saaty', 'prioritas', 'rehabilitasi', 'bangu', 'tampil', 'mapserver', 'letak', 'bangunya', 'indikasi', 'rusak', 'rusak', 'berat', 'kunci', 'bangu', 'sejarah', 'analisis', 'multi', 'kriteria', 'fuzzy', 'ahp', 'mapserver']"
SISTEM PENENTU CALON PENERIMA BEASISWA IKSASS RAYON BANGKALAN MENGGUNAKAN METODE SMARTER DAN FORWARD CHAINING,Moh Rudi,"Achmad Ubaidillah, Ms.,S.T.,M.T","Fika Hastarita Rachman, S.T., M.Eng",beasiswa indentik harga ajar santri prestasi studi tempuh iksass tumbuh tingkat semangat santri prestasi harga beasiswa semester proses seleksi calon terima beasiswa ikat santri alumni salafiyah syafiiyah iksass rayon kabupaten bangkal lengkap kriteria ekonomi keluarga tanggung keluarga status orang tua perhati hitung nilai kriteria relevan dasar pengaruh hasil sistem dukung putus calon terima beasiswa metode smarter inferensi forward chaining hasil penuh kriteria iksass penggunaaan forward chaining efektif antisipasi sama hasil perankingan proses seleksi calon terima beasiswa iksass rayon bangkal sasar kunci sistem dukung putus simple multi atribute rating technique exploiting rank smarter forward chaining, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['beasiswa', 'indentik', 'harga', 'ajar', 'santri', 'prestasi', 'studi', 'tempuh', 'iksass', 'tumbuh', 'tingkat', 'semangat', 'santri', 'prestasi', 'harga', 'beasiswa', 'semester', 'proses', 'seleksi', 'calon', 'terima', 'beasiswa', 'ikat', 'santri', 'alumni', 'salafiyah', 'syafiiyah', 'iksass', 'rayon', 'kabupaten', 'bangkal', 'lengkap', 'kriteria', 'ekonomi', 'keluarga', 'tanggung', 'keluarga', 'status', 'orang', 'tua', 'perhati', 'hitung', 'nilai', 'kriteria', 'relevan', 'dasar', 'pengaruh', 'hasil', 'sistem', 'dukung', 'putus', 'calon', 'terima', 'beasiswa', 'metode', 'smarter', 'inferensi', 'forward', 'chaining', 'hasil', 'penuh', 'kriteria', 'iksass', 'penggunaaan', 'forward', 'chaining', 'efektif', 'antisipasi', 'sama', 'hasil', 'perankingan', 'proses', 'seleksi', 'calon', 'terima', 'beasiswa', 'iksass', 'rayon', 'bangkal', 'sasar', 'kunci', 'sistem', 'dukung', 'putus', 'simple', 'multi', 'atribute', 'rating', 'technique', 'exploiting', 'rank', 'smarter', 'forward', 'chaining']"
